,trial_index,arm_name,trial_status,generation_method,Objective,B,Sc,Cr,Y,Zr,Gd,Hf,Ta,W,Re,Function,Num_Experiments,Monte_Carlo_Run,Number of data used,Target_CumBest
2,2,2_0,COMPLETED,Manual,135.00685581032218,0.9206349206349206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0793650793650793,0.0,targetFunction,1,0,0,135.00685581032218
3,3,3_0,COMPLETED,Manual,106.22927448999997,0.6774193548387097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3225806451612903,0.0,targetFunction,2,0,0,135.00685581032218
4,4,4_0,COMPLETED,Manual,139.34604170468722,0.9230769230769232,0.0769230769230769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,targetFunction,3,0,0,139.34604170468722
5,5,5_0,COMPLETED,Manual,147.49402922192442,0.9523809523809524,0.0,0.0,0.0119047619047619,0.0,0.0,0.0357142857142857,0.0,0.0,0.0,targetFunction,4,0,0,147.49402922192442
6,6,6_0,COMPLETED,Manual,157.3709982220219,0.8,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,targetFunction,5,0,0,157.3709982220219
7,7,7_0,COMPLETED,Manual,141.23533652070077,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,targetFunction,6,0,0,157.3709982220219
8,8,8_0,COMPLETED,Manual,119.10061804970184,0.6666666666666666,0.1583333333333333,0.1666666666666666,0.0083333333333333,0.0,0.0,0.0,0.0,0.0,0.0,targetFunction,7,0,0,157.3709982220219
9,9,6_0,COMPLETED,Manual,157.3709982220219,0.8,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,targetFunction,8,0,0,157.3709982220219
10,10,6_0,COMPLETED,Manual,157.3709982220219,0.8,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,targetFunction,9,0,0,157.3709982220219
11,11,11_0,COMPLETED,Manual,117.25187832749276,0.6774193548387097,0.0,0.0,0.0,0.0,0.0,0.0,0.1612903225806451,0.1612903225806451,0.0,targetFunction,10,0,0,157.3709982220219
12,12,6_0,COMPLETED,Manual,157.3709982220219,0.8,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,targetFunction,11,0,0,157.3709982220219
13,13,6_0,COMPLETED,Manual,157.3709982220219,0.8,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,targetFunction,12,0,0,157.3709982220219
14,14,6_0,COMPLETED,Manual,157.3709982220219,0.8,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,targetFunction,13,0,0,157.3709982220219
15,15,6_0,COMPLETED,Manual,157.3709982220219,0.8,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,targetFunction,14,0,0,157.3709982220219
16,16,6_0,COMPLETED,Manual,157.3709982220219,0.8,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,targetFunction,15,0,0,157.3709982220219
17,17,6_0,COMPLETED,Manual,157.3709982220219,0.8,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,targetFunction,16,0,0,157.3709982220219
18,18,6_0,COMPLETED,Manual,157.3709982220219,0.8,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,targetFunction,17,0,0,157.3709982220219
19,19,6_0,COMPLETED,Manual,157.3709982220219,0.8,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,targetFunction,18,0,0,157.3709982220219
20,20,6_0,COMPLETED,Manual,157.3709982220219,0.8,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,targetFunction,19,0,0,157.3709982220219
21,21,6_0,COMPLETED,Manual,157.3709982220219,0.8,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,targetFunction,20,0,0,157.3709982220219
2,2,2_0,COMPLETED,Manual,143.1990010858288,0.9523809523809524,0.0,0.0,0.0,0.0476190476190476,0.0,0.0,0.0,0.0,0.0,targetFunction,1,1,0,143.1990010858288
