,Number of data used,Monte_Carlo_Run,Iteration,Num_Experiments,Target_Measurements,Target_IterBest,Target_CumBest,Initial_Data
0,random,0,0,1,[139.77718748970685],139.77718748970685,139.77718748970685,
1,random,0,1,2,[141.23533652070077],141.23533652070077,141.23533652070077,
2,random,0,2,3,[135.00266042722274],135.00266042722274,141.23533652070077,
3,random,0,3,4,[120.14447039437856],120.14447039437856,141.23533652070077,
4,random,0,4,5,[137.90638877821684],137.90638877821684,141.23533652070077,
5,random,0,5,6,[106.22927448999997],106.22927448999997,141.23533652070077,
6,random,0,6,7,[117.69744918762859],117.69744918762859,141.23533652070077,
7,random,0,7,8,[144.37198284311458],144.37198284311458,144.37198284311458,
8,random,0,8,9,[125.78672619143359],125.78672619143359,144.37198284311458,
9,random,0,9,10,[147.0022769034152],147.0022769034152,147.0022769034152,
10,random,0,10,11,[148.72605678839184],148.72605678839184,148.72605678839184,
11,random,0,11,12,[123.8089980191226],123.8089980191226,148.72605678839184,
12,random,0,12,13,[122.0447716941213],122.0447716941213,148.72605678839184,
13,random,0,13,14,[157.3709982220219],157.3709982220219,157.3709982220219,
14,random,0,14,15,[121.92929330241844],121.92929330241844,157.3709982220219,
15,random,0,15,16,[139.34604170468722],139.34604170468722,157.3709982220219,
16,random,0,16,17,[121.70683253959652],121.70683253959652,157.3709982220219,
17,random,0,17,18,[135.58222778383404],135.58222778383404,157.3709982220219,
18,random,0,18,19,[155.4607999734539],155.4607999734539,157.3709982220219,
19,random,0,19,20,[153.81739983748278],153.81739983748278,157.3709982220219,
20,random,1,0,1,[135.00266042722274],135.00266042722274,135.00266042722274,
21,random,1,1,2,[163.68216005041552],163.68216005041552,163.68216005041552,
22,random,1,2,3,[121.92929330241844],121.92929330241844,163.68216005041552,
23,random,1,3,4,[148.9973261341777],148.9973261341777,163.68216005041552,
24,random,1,4,5,[145.51819311471445],145.51819311471445,163.68216005041552,
25,random,1,5,6,[133.96956615054],133.96956615054,163.68216005041552,
26,random,1,6,7,[123.14024426243438],123.14024426243438,163.68216005041552,
27,random,1,7,8,[119.10061804970184],119.10061804970184,163.68216005041552,
28,random,1,8,9,[127.23817967487085],127.23817967487085,163.68216005041552,
29,random,1,9,10,[137.6825662628294],137.6825662628294,163.68216005041552,
30,random,1,10,11,[113.43623595623639],113.43623595623639,163.68216005041552,
31,random,1,11,12,[143.1990010858288],143.1990010858288,163.68216005041552,
32,random,1,12,13,[117.69744918762859],117.69744918762859,163.68216005041552,
